,0
0,"Gricar went missing in 2005, leaving behind a live-in girlfriend, a successful daughter and a bank account . he was 59 when he disappeared; his laptop and hard drive were found on the banks of the Susquehanna river . Gricar's case has become one of the most talked about missing persons stories in the country ."
1,"China's ministry of Public Security announces six-month anti-drug campaign . authorities also handled 115,000 drug-related crimes -- such as robbery -- and 606,000 cases of drug use ."
2,"95 passengers have suffered vomiting, diarrhea and other symptoms . Five members of the 964-person crew also have been affected . The CDC has yet to determine what's causing the ailments ."
3,"""The Price Is Right"" contestants encountered not host Drew Carey but another familiar face in charge . Bob Barker, who hosted the TV game show for 35 years, stepped down in 2007 ."
4,"Cynthia Lennon, 75, died Wednesday at her home in Mallorca, Spain . She married John Lennon when he was a struggling musician . Cynthia was a stabilizing force for the young John, who lost his mother . Cynthia was also a photographer and a photographer ."
5,Cuban photographer Carolina Sandretto captures crumbling buildings that many Cubans divide and cohabitate . Sandretto carries a 30-year-old Hasselblad 500cm camera to capture the maze-like solares .
6,"Yarmouk is a neighborhood in the middle of Damascus . it was set up as a refugee camp for Palestinians in the 1950s . since 2012, it has been engulfed in the Syrian conflict ."
7,Venezuela is the strongest ally of the United States and Cuba . Venezuelan President Nicolas Maduro has been rallying other Latin American leaders .
8,"Ellie Meredith is a high school freshman with Down syndrome . Trey Moses, a star on Eastern High School's basketball team, was originally going to take his girlfriend to Eastern's prom . Ellie's parents were thrilled by the decision ."
9,"978 migrants were rescued Friday in the Mediterranean Sea, the Italian Coast Guard said . Most migrants recorded this year come from countries in West Africa, Somalia and Syria . Most of the migrants are asylum seekers, victims of trafficking or violence, unaccompanied children and pregnant women ."
10,ISIS took thousands of Yazidis captive in a refugee camp in Iraqi Kurdistan . ISIS separated the young women and girls to be sold as sex slaves .
11,"FBI confirms that one of its most wanted terrorists, the Malaysian bomb maker known as Marwan, was killed in a raid in the Philippines in January . Marwan, whose real name is Zulkifli bin Hir, was believed by the FBI to a member of southeast Asian terror group Jemaah Islamiyah's central command ."
12,federal judge stresses importance of avoiding anything prejudicial in sentencing phase . he says he'll pay the maximum penalty for several of the charges .
13,"Adventure Time"" is a strangely addictive Cartoon Network TV show . Thai Airways subsidiary Thai Smile unveiled colorful new livery ."
14,Malala Yousafzai was shot in the head by a Pakistani Taliban gunman in 2010 . She was a teenage education activist who fought for girls' right to school . A NASA astrophysicist named an asteroid after her . Mainzer decided Malala deserved to be immortalized .
